time,volumeto,volumefrom,volumetotal
1499990400,2220117.07,0,2220117.07
1500076800,2521268.62,0,2521268.62
1500163200,2646573.96,0,2646573.96
1500249600,2636807.24,0,2636807.24
1500336000,3028387.4,0,3028387.4
1500422400,3107002.24,0,3107002.24
1500508800,3752737.93,0,3752737.93
1500595200,3636182.74,0,3636182.74
1500681600,4477916.45,0,4477916.45
1500768000,6895108.59,0,6895108.59
1500854400,7587771,0,7587771
1500940800,5058886.83,0,5058886.83
1501027200,5247097.08,0,5247097.08
1501113600,7614763.23,0,7614763.23
1501200000,7981639.18,0,7981639.18
1501286400,7976243.66,0,7976243.66
1501372800,8385397.18,0,8385397.18
1501459200,8272418.79,0,8272418.79
1501545600,9077098.82,0,9077098.82
1501632000,10024826.59,0,10024826.59
1501718400,9371906.75,0,9371906.75
1501804800,13173783.69,0,13173783.69
1501891200,15087089.32,0,15087089.32
1501977600,16891784.63,0,16891784.63
1502064000,27139247.31,0,27139247.31
1502150400,31254820.62,0,31254820.62
1502236800,36298037.13,0,36298037.13
1502323200,53889077.74,0,53889077.74
1502409600,64552399.6,0,64552399.6
1502496000,54734718.02,0,54734718.02
1502582400,80468852.6,0,80468852.6
1502668800,108577454.4,0,108577454.4
1502755200,78163257.71,0,78163257.71
1502841600,59252451.24,0,59252451.24
1502928000,66207771.95,3376067.88,69583882.62
1503014400,142860266.4,4736283.26,147596549.6
1503100800,90980603.3,1540439.52,92521042.81
1503187200,90987003.05,1885031.76,92872034.82
1503273600,94779930.53,2743974.11,97523904.64
1503360000,72430918.13,3843949.93,76274868.06
1503446400,84377193.4,4060338.75,88437532.15
1503532800,71097703.05,3327115.94,74424818.99
1503619200,66343309.12,2458734.02,68802043.14
1503705600,52193782.63,982575.25,53176357.88
1503792000,57811251.51,1510017.75,59321269.26
1503878400,42579948.37,2604112.38,45184104.65
1503964800,87827975.68,2731353.82,90559329.49
1504051200,52956750.27,3621181.59,56577931.86
1504137600,48225248.66,2605162.82,50830411.48
1504224000,56734903.23,2727590.83,59462494.06
1504310400,75299841.54,4062357.68,79362153.49
1504396800,88215867.56,3075064.73,91290932.29
1504483200,84563490.48,5589975.43,90153465.91
1504569600,42673633.51,5181550.82,47855184.32
1504656000,38499626.7,3600284.45,42099911.15
1504742400,44381837.03,2233571.15,46615408.18
1504828800,51653659.61,4795177.59,56448837.2
1504915200,19697270.07,2855073.27,22552343.34
1505001600,19939081.57,2755327.86,22694409.43
1505088000,26544763.14,2891665.7,29436386.67
1505174400,40598628.43,3634480.19,44233067.03
1505260800,20339186.71,3488098.86,23827285.57
1505347200,24216499.96,5326888.62,29543388.58
1505433600,26204550.52,7239306.64,33443857.17
1505520000,19860944.06,4734987.49,24595931.55
1505606400,12432731.23,2494766.7,14927534.83
1505692800,17725674.45,4213734.75,21939368.2
1505779200,20670216.51,3512513.53,24182730.04
1505865600,17937481.46,2793563.51,20731044.97
1505952000,20164978.03,3512586.21,23677528.07
1506038400,24001296.36,3000571.64,27001868
1506124800,23836721.93,2832643.48,26669365.41
1506211200,23942634.14,2419903.05,26362500.51
1506297600,35759374.76,2834154.61,38593568.7
1506384000,48238143.77,2037088.84,50275232.6
1506470400,73781147.93,2633888.66,76415036.59
1506556800,95901985.96,3522457.96,99424443.92
1506643200,74866654.25,6514643.2,81381297.45
1506729600,84297238.32,3076504.62,87373786.55
1506816000,83423849.18,3191799.94,86615649.12
1506902400,95769290.17,2792857.61,98562147.78
1506988800,80569209.74,4620357.35,85189610.24
1507075200,76838124.81,3627288.24,80465413.06
1507161600,62467581.99,3286195.83,65753777.82
1507248000,60099310.4,2195457.11,62294767.51
1507334400,60374567.88,1278134.29,61652702.18
1507420800,70774514.74,2324896.32,73099411.06
1507507200,76813296.39,3054106.03,79867354.65
1507593600,65785764.65,4936746.3,70722463.32
1507680000,51604563.88,3558136.95,55162700.84
1507766400,68118318.35,6884107.41,75002425.76
1507852800,84164799.15,10518563.43,94683362.59
1507939200,62984977.36,5627776.55,68612753.92
1508025600,70003938.98,7562097.72,77566036.7
1508112000,82137375.91,8731777.81,90869153.72
1508198400,74824125.93,7962468.43,82786594.36
1508284800,73288430.73,12799875.35,86088250.32
1508371200,68313193.73,10651004.8,78964198.52
1508457600,78295007.87,11570058.44,89865066.31
1508544000,60577846.11,9914876.82,70492722.94
1508630400,56409575,8064596.14,64474171.13
1508716800,61331069.35,10560731.78,71891801.14
1508803200,91688474.53,14090826.04,105779300.6
1508889600,66104361.66,12936477.4,79040839.06
1508976000,63227455.92,11538243.7,74765640.74
1509062400,61774581.39,8036546.03,69811127.42
1509148800,59622886.35,7269244.2,66892130.55
1509235200,83323609.03,10963733.07,94287280.62
1509321600,71062041.85,8984502.49,80046544.34
1509408000,78610875.38,9669828.15,88280703.53
1509494400,88714934.33,11183704.13,99898638.46
1509580800,104139366.1,17278152.43,121417448.3
1509667200,104776269.3,13286707.89,118062977.2
1509753600,86520673.55,10204017.66,96724691.21
1509840000,78143826.19,8812629.54,86956455.73
1509926400,101055257.2,12119151.08,113174477.9
1510012800,108247188.5,10098334.81,118345523.3
1510099200,165091710.6,20090466.55,185182177.2
1510185600,148135555.3,13498310.16,161633794.2
1510272000,170881313.8,20920148.93,191801462.8
1510358400,211967513.2,17026771.81,228994285
1510444800,372924203,28535029.4,401459232.4
1510531200,231121124.2,16589264.55,247710388.8
1510617600,205048697.4,8105543.74,213154241.2
1510704000,194219806.9,12715263.97,206935143.7
1510790400,235613462.9,18017912.66,253631375.6
1510876800,239377970.6,29976983.34,269354953.9
1510963200,279424460.7,30445767.12,309870227.8
1511049600,259879896.1,30931913.01,290811809.1
1511136000,341177144.6,31799769.33,372976913.9
1511222400,262963663.1,36191394.96,299155058
1511308800,357916856.7,28975816.89,386892673.6
1511395200,372355516.4,32490691.38,404846207.8
1511481600,357780074,35524471.46,393304545.4
1511568000,300778843.6,37020607.42,337799451
1511654400,309006168.8,38281746.68,347287915.4
1511740800,368468584.4,43546142.14,412014726.6
1511827200,415737776.4,48312450.5,464050226.9
1511913600,468489714.9,128304583.1,596794199.6
1512000000,401935939.2,91328763.1,493264702.3
1512086400,403271066.4,65536480.76,468807547.2
1512172800,369395583.1,51299979.84,420695563
1512259200,427109350.6,58617833.15,485727183.8
1512345600,522508819.4,53460105.68,575968925.1
1512432000,729818299.7,64296620.06,794114919.8
1512518400,955773034.4,90151530.63,1045924565
1512604800,813192590.5,122382959,935575549.6
1512691200,716076132.5,278330389.7,994406522.2
1512777600,620501564.3,203725939.5,824227355.4
1512864000,528624789.9,242571452.8,771196242.8
1512950400,668811048.5,194645309.7,863456358.2
1513036800,1166986688,159040175.3,1326026863
1513123200,1099863124,197695121.6,1297558246
1513209600,1518181399,184774231.9,1702955795
1513296000,1362015769,158428333.8,1520444103
1513382400,1634487102,79670144.56,1714157246
1513468800,1994743426,171223993.8,2165967230
